,target_name,mass,radius,semi_major_axis,detection_type
110,G 196-3 b,15.0,,,Imaging
111,G 9-40 b,0.013,0.17,0.0418,Primary Transit
112,GJ 1132 b,0.00522,0.1035,0.0154,Primary Transit
113,GJ 1214 b,0.02571,0.24463,0.01411,Primary Transit
114,GJ 1252 b,0.00415,0.1053,0.00916,Primary Transit
115,GJ 143 b,0.0714,0.2329,0.1932,Primary Transit
116,GJ 143 c,0.01164,0.07958,0.0695,Primary Transit
117,GJ 2030 c,12.934,,16.752,Astrometry
118,GJ 273 b,0.00922,,0.091,Radial Velocity
119,GJ 273 c,0.00374,,0.036,Radial Velocity
120,GJ 273 d,0.03448,,0.712,Radial Velocity
121,GJ 273 e,0.0297,,0.849,Radial Velocity
122,GJ 3090 b,0.01051,0.19,0.03165,Primary Transit
123,GJ 3470 b,0.03958,0.37380742940036,0.03557,Primary Transit
124,GJ 3473 b,0.00585,0.11277,0.01589,Primary Transit
125,GJ 357 b,0.006566,0.10411,0.033,Primary Transit
126,GJ 3634 b,0.026,,0.0287,Radial Velocity
127,GJ 367  b,0.00047,0.0526,0.0069,Primary Transit
128,GJ 3929 b,0.00381,0.1026,0.02569,Primary Transit
129,GJ 436 b,0.07,0.38,0.02887,Primary Transit
130,GJ 486 b,0.00887,0.11643,0.01734,Primary Transit
131,GJ 504 b,4.0,0.96,43.5,Imaging
132,GJ 676 A b,6.7,,1.812,Radial Velocity
133,GJ 676 A c,6.8,,6.6,Radial Velocity
134,GJ 876 b,3.6,,0.214,Radial Velocity
135,GJ 876 d,0.021741,,0.021,Radial Velocity
136,GJ 876 e,0.04855,,0.345,Radial Velocity
137,GJ 896A b,2.26,,0.64282,Astrometry
138,GJ 9827 b,0.01532,0.13641,0.01866,Primary Transit
139,GJ 9827 c,0.00604,0.107,0.03896,Primary Transit
140,GJ 9827 d,0.01076,0.17441,0.0555,Primary Transit
141,GPX-1 b,19.7,1.47,0.0338,Primary Transit
142,GQ Lup b,0.013,1.8,32.0,Imaging
143,GSC 6214-210 b,17.0,,320.0,Imaging
144,GU Psc b,11.0,1.35,2000.0,Imaging
145,Gaia-1 b,1.68,1.229,0.04047,Primary Transit
146,Gaia-2 b,0.773,1.327,0.0467,Primary Transit
147,HAT-P-1 b,0.525,1.319,0.05561,Primary Transit
148,HAT-P-10 A b,0.46,1.045,0.0439,Primary Transit
149,HAT-P-11 b,0.0736,0.389,0.053,Primary Transit
150,HAT-P-11 c,2.3,,4.13,Radial Velocity
151,HAT-P-12 b,0.210489884529,0.949,0.0384,Primary Transit
152,HAT-P-13 b,0.85,1.28,0.0426,Primary Transit
153,HAT-P-14 b,2.444,1.01,0.0606,Primary Transit
154,HAT-P-15 b,1.946,1.072,0.0964,Primary Transit
155,HAT-P-16 b,4.193,1.289,0.0413,Primary Transit
156,HAT-P-17 b,0.534,1.01,0.0882,Primary Transit
157,HAT-P-18 b,0.183,0.947,0.0559,Primary Transit
158,HAT-P-19 b,0.292,1.132,0.0466,Primary Transit
159,HAT-P-2 b,8.74,0.951,0.0674,Primary Transit
160,HAT-P-20 b,7.246,0.867,0.0361,Primary Transit
161,HAT-P-21 b,4.063,1.024,0.0494,Primary Transit
162,HAT-P-22 b,2.147,1.08,0.0414,Primary Transit
163,HAT-P-23 b,2.09,1.368,0.0232,Primary Transit
164,HAT-P-24 b,0.685,1.242,0.0465,Primary Transit
165,HAT-P-25 b,0.567,1.19,0.0466,Primary Transit
166,HAT-P-26 b,0.0585,0.5647,0.0479,Primary Transit
167,HAT-P-27 b,0.66,1.055,0.0403,Primary Transit
168,HAT-P-28 b,0.626,1.212,0.0434,Primary Transit
169,HAT-P-29 b,0.778,1.107,0.0667,Primary Transit
170,HAT-P-3 b,0.591,0.827,0.03866,Primary Transit
171,HAT-P-30 b,0.711,1.34,0.0419,Primary Transit
172,HAT-P-31 b,2.171,1.07,0.055,Primary Transit
173,HAT-P-32 b,0.75,1.789,0.03427,Primary Transit
174,HAT-P-33 b,0.763,1.827,0.0503,Primary Transit
175,HAT-P-43 b,0.66,1.283,0.0443,Primary Transit
176,HAT-P-34 b,3.328,1.107,0.0677,Primary Transit
177,HAT-P-35 b,1.054,1.332,0.0498,Primary Transit
178,HAT-P-36 b,1.832,1.264,0.0238,Primary Transit
179,HAT-P-37 b,1.169,1.178,0.0379,Primary Transit
180,HAT-P-38 b,0.267,0.825,0.0523,Primary Transit
181,HAT-P-39 b,0.599,1.571,0.0509,Primary Transit
182,HAT-P-4 b,0.68,1.27,0.0446,Primary Transit
183,HAT-P-40 b,0.615,1.73,0.0608,Primary Transit
184,HAT-P-41 b,0.8,1.685,0.0426,Primary Transit
185,HAT-P-42 b,0.975,1.277,0.0575,Primary Transit
186,HAT-P-44 b,0.392,1.28,0.0507,Primary Transit
187,HAT-P-44 c,1.6,,0.699,Primary Transit
188,HAT-P-45 b,0.892,1.426,0.0452,Primary Transit
189,HAT-P-46 b,0.493,1.284,0.0577,Primary Transit
190,HAT-P-46 c,2.0,,0.387,Primary Transit
191,HAT-P-47 b,0.206,1.313,0.0615,Primary Transit
192,HAT-P-48 b,0.168,1.131,0.0543,Primary Transit
193,HAT-P-49 b,1.73,1.413,0.0438,Primary Transit
194,HAT-P-5 b,1.06,1.252,0.04079,Primary Transit
195,HAT-P-50 b,1.36,1.288,0.0453,Primary Transit
196,HAT-P-51 b,0.309,1.293,0.05069,Primary Transit
197,HAT-P-52 b,0.819,1.009,0.03694,Primary Transit
198,HAT-P-53 b,1.487,1.318,0.03159,Primary Transit
199,HAT-P-54 b,0.76,0.944,0.04117,Primary Transit
200,HAT-P-55 b,0.582,1.182,0.04604,Primary Transit
201,HAT-P-56 b,2.31,1.51,0.0423,Primary Transit
202,HAT-P-57 b,1.85,1.413,0.0406,Primary Transit
203,HAT-P-58 b,0.372,1.332,0.04994,Primary Transit
204,HAT-P-59 b,1.54,1.123,0.05064,Primary Transit
205,HAT-P-6 b,1.057,1.33,0.05235,Primary Transit
206,HAT-P-60 b,0.574,1.631,0.06277,Primary Transit
207,HAT-P-61 b,1.057,0.899,0.0301,Primary Transit
208,HAT-P-62 b,0.761,1.073,0.03772,Primary Transit
209,HAT-P-63 b,0.614,1.119,0.04294,Primary Transit
210,HAT-P-64 b,0.58,1.703,0.05387,Primary Transit
211,HAT-P-65 b,0.527,1.89,0.03951,Primary Transit
212,HAT-P-66 b,0.783,1.59,0.04363,Primary Transit
213,HAT-P-67 b,0.34,2.085,0.06505,Primary Transit
214,HAT-P-68 b,0.724,1.072,0.02996,Primary Transit
215,HAT-P-69 b,3.58,1.676,0.06555,Primary Transit
216,HAT-P-7 b,1.741,1.431,0.0379,Primary Transit
217,HAT-P-70 b,6.78,1.87,0.04739,Primary Transit
218,HAT-P-8 b,1.34,1.5,0.0449,Primary Transit
219,HAT-P-9 b,0.67,1.4,0.053,Primary Transit
220,HATS-1 b,1.855,1.302,0.0444,Primary Transit
221,HATS-10 b,0.526,0.969,0.0449,Primary Transit
222,HATS-11 b,0.85,1.609,0.0507,Primary Transit
223,HATS-12 b,2.38,0.692,0.0441,Primary Transit
224,HATS-13 b,0.543,1.212,0.04057,Primary Transit
225,HATS-14 b,1.071,1.039,0.03815,Primary Transit
226,HATS-15 b,2.17,1.105,0.02712,Primary Transit
227,HATS-16 b,3.27,1.3,0.03744,Primary Transit
228,HATS-17 b,1.338,0.777,0.1308,Primary Transit
229,HATS-18 b,1.98,1.337,0.01761,Primary Transit
230,HATS-19 b,0.427,1.66,0.0589,Primary Transit
231,HATS-2 b,1.345,1.168,0.023,Primary Transit
232,HATS-20 b,0.273,0.776,0.04619,Primary Transit
233,HATS-21 b,0.332,1.123,0.04676,Primary Transit
234,HATS-22 b,2.74,0.953,0.05025,Primary Transit
235,HATS-23 b,1.47,1.86,0.03397,Primary Transit
236,HATS-24 b,2.44,1.487,0.02547,Primary Transit
237,HATS-25 b,0.613,1.26,0.05163,Primary Transit
238,HATS-26 b,0.65,1.75,0.04735,Primary Transit
239,HATS-27 b,0.53,1.5,0.0611,Primary Transit
240,HATS-28 b,0.672,1.194,0.04131,Primary Transit
241,HATS-29 b,0.653,1.251,0.05475,Primary Transit
242,HATS-3 b,1.071,1.381,0.0485,Primary Transit
243,HATS-30 b,0.706,1.175,0.04354,Primary Transit
244,HATS-31 b,0.88,1.64,0.0478,Primary Transit
245,HATS-32 b,0.92,1.249,0.04024,Primary Transit
246,HATS-33 b,1.192,1.23,0.03727,Primary Transit
247,HATS-34 b,0.941,1.43,0.03166,Primary Transit
248,HATS-35 b,1.222,1.464,0.03199,Primary Transit
249,HATS-36 b,2.79,1.153,0.0523,Primary Transit
250,HATS-37A b,0.099,0.606,0.04913,Primary Transit
251,HATS-38 b,0.074,0.614,0.05036,Primary Transit
252,HATS-39 b,0.63,1.57,0.06,Primary Transit
253,HATS-4 b,1.323,1.02,0.0362,Primary Transit
254,HATS-40 b,1.59,1.58,0.04997,Primary Transit
255,HATS-41 b,9.7,1.33,0.0583,Primary Transit
256,HATS-42 b,1.88,1.4,0.03689,Primary Transit
257,HATS-43 b,0.261,1.18,0.04944,Primary Transit
258,HATS-44 b,0.56,1.067,0.03649,Primary Transit
259,HATS-45 b,0.7,1.286,0.05511,Primary Transit
260,HATS-46 b,0.173,0.903,0.05367,Primary Transit
261,HATS-47 b,0.369,1.117,0.04269,Primary Transit
262,HATS-48A b,0.243,0.8,0.03769,Primary Transit
263,HATS-49 b,0.353,0.765,0.04515,Primary Transit
264,HATS-5 b,0.237,0.912,0.0542,Primary Transit
265,HATS-50 b,0.39,1.13,0.05046,Primary Transit
266,HATS-51 b,0.768,1.41,0.04639,Primary Transit
267,HATS-52 b,2.24,1.382,0.02498,Primary Transit
268,HATS-53 b,0.595,1.34,0.04753,Primary Transit
269,HATS-54 b,0.76,1.067,0.03763,Primary Transit
270,HATS-55 b,0.921,1.251,0.05412,Primary Transit
271,HATS-56 b,0.602,1.688,0.06043,Primary Transit
272,HATS-57 b,3.147,1.13,0.03493,Primary Transit
273,HATS-58A b,1.03,1.095,0.05798,Primary Transit
274,HATS-59 b,0.806,1.126,0.06112,Primary Transit
275,HATS-6 b,0.319,0.998,0.03623,Primary Transit
276,HATS-60 b,0.662,1.153,0.04708,Primary Transit
277,HATS-61 b,3.4,1.195,0.07908,Primary Transit
278,HATS-62 b,0.179,1.055,0.04163,Primary Transit
