,target_name,mass,radius,semi_major_axis,detection_type
468,K2-285 e,0.03367,0.174,0.18041,Primary Transit
469,K2-286 b,0.0214,0.187,0.1768,Primary Transit
470,K2-287 b,0.315,0.847,0.1206,Primary Transit
471,K2-289 b,0.1529,0.812,0.107,Primary Transit
472,K2-29 b,0.73,1.19,0.04217,Primary Transit
473,K2-290 b,0.0343,0.273,0.0923,Primary Transit
474,K2-290 c,0.774,1.006,0.305,Primary Transit
475,K2-291 b,0.02042,0.142,0.03261,Primary Transit
476,K2-292 b,0.07709,0.235,0.13,Primary Transit
477,K2-295 b,0.335,0.897,0.0451,Primary Transit
478,K2-3 b,0.02039,0.194,0.0775,Primary Transit
479,K2-3 c,0.00673,0.165,0.1405,Primary Transit
480,K2-3 d,0.00881,0.135,0.2086,Primary Transit
481,OY Car b,8.48,,6.18,Pulsar
482,K2-30 b,0.579,1.039,0.04839,Primary Transit
483,K2-308 b,0.025,0.884,,Primary Transit
484,K2-31 b,1.774,1.06,0.022,Primary Transit
485,K2-314 b,0.02753,0.174,0.047,Primary Transit
486,K2-314 c,0.04616,0.3274,0.13,Primary Transit
487,K2-314 d,0.03203,0.3515,0.22,Primary Transit
488,K2-32 b,0.047,0.443,0.08035,Primary Transit
489,K2-32 c,0.0255,0.244,0.1399,Primary Transit
490,K2-32 d,0.0211,0.292,0.1862,Primary Transit
491,K2-32 e,0.0066,0.09,0.04951,Primary Transit
492,K2-33 b,3.7,0.45,0.0409,Primary Transit
493,K2-34 b,1.78,1.245,0.0426,Primary Transit
494,K2-36 b,0.01227,0.128,0.0223,Primary Transit
495,K2-36 c,0.02454,0.2783,0.054,Primary Transit
496,K2-38 b,0.06,0.17,0.04994,Primary Transit
497,K2-38 c,0.03115,0.216,0.0964,Primary Transit
498,K2-39 b,0.09,0.56,0.062,Primary Transit
499,K2-52 b,0.4046,1.606,0.054,Primary Transit
500,K2-53 b,0.0289,0.232,0.098,Primary Transit
501,K2-55 b,0.138,0.341,0.03486,Primary Transit
502,K2-60 b,0.426,0.683,0.045,Primary Transit
503,K2-66 b,0.06702,0.222,0.05983,Primary Transit
504,K2-77 b,1.9,0.205,,Primary Transit
505,K2-79 b,0.0371,0.3649,0.0987,Primary Transit
506,K2-87 b,0.1192,0.678,0.094,Primary Transit
507,K2-90 b,0.028,0.232,0.096,Primary Transit
508,K2-95 b,1.67,0.346,0.0696,Primary Transit
509,K2-97 b,1.1,0.947,0.086,Primary Transit
510,K2-98 b,0.101,0.464,0.0974,Primary Transit
511,K2-99 b,0.87,1.046,0.153,Primary Transit
512,KELT-10 b,0.679,1.399,0.0525,Primary Transit
513,KELT-11 b,0.195,1.3,0.06229,Primary Transit
514,KELT-19 A b,4.07,1.91,,Primary Transit
515,KELT-12 b,0.95,1.79,0.0617,Primary Transit
516,KELT-15 b,0.92,1.443,0.04613,Primary Transit
517,KELT-16 b,2.75,1.415,0.02044,Primary Transit
518,KELT-17 b,1.31,1.525,0.04881,Primary Transit
519,KELT-18 b,1.18,1.57,0.0455,Primary Transit
520,KELT-2 A b,1.486,1.306,0.05498,Primary Transit
521,KELT-21 b,3.91,1.586,0.05224,Primary Transit
522,KELT-22A b,3.69,1.2,0.0248,Primary Transit
523,KELT-23A b,0.938,1.323,0.03302,Primary Transit
524,KELT-3 b,1.418,1.333,0.04117,Primary Transit
525,KELT-4 A b,0.884,1.706,0.04321,Radial Velocity
526,KELT-6 b,0.442,1.18,0.08,Primary Transit
527,KELT-7 b,1.24,1.293,0.0446,Primary Transit
528,KELT-8 b,0.874,1.86,0.04571,Primary Transit
529,KELT-9 b,2.88,1.84,0.03368,Primary Transit
530,KIC 5095269 (AB) b,7.698,,,Pulsar
531,KMT-2016-BLG-1107 b,3.283,,0.342,Microlensing
532,KMT-2016-BLG-1397 b,7.0,,5.1,Microlensing
533,KMT-2016-BLG-1820 b,4.57,,1.08,Microlensing
534,KMT-2016-BLG-1836L b,2.2,,3.5,Microlensing
535,KMT-2016-BLG-2142 b,15.49,,0.83,Microlensing
536,KMT-2016-BLG-2364 b,3.93,,2.63,Microlensing
537,KMT-2016-BLG-2397 b,2.42,,2.83,Microlensing
538,KMT-2016-BLG-2605 b,0.771,,0.681,Microlensing
539,KMT-2017-BLG-0165L b,0.107,,3.45,Microlensing
540,KMT-2017-BLG-0673L b,3.67,,2.34,Microlensing
541,KMT-2017-BLG-1038 b,2.4,,1.9,Microlensing
542,KMT-2017-BLG-1146 b,0.85,,1.7,Microlensing
543,KMT-2017-BLG-2509 b,2.09,,2.14,Microlensing
544,KMT-2019-BLG-2073,0.186,,,Microlensing
545,KMT-2018-BLG-0029 b,0.02017,,3.94,Microlensing
546,KMT-2018-BLG-0030 b,1.45,,4.39,Microlensing
547,KMT-2018-BLG-0087 b,0.23,,0.87,Microlensing
548,KMT-2018-BLG-0247 b,2.11,,2.46,Microlensing
549,KMT-2018-BLG-0748 b,0.19,,0.62,Microlensing
550,KMT-2018-BLG-1025L b,0.019064,,1.305,Microlensing
551,KMT-2018-BLG-1292L b,4.9,,6.8,Microlensing
552,KMT-2018-BLG-1743 b,0.925,,1.74,Microlensing
553,KMT-2018-BLG-1976L b,1.96,,2.04,Microlensing
554,KMT-2018-BLG-1988L b,0.0214,,2.83,Microlensing
555,KMT-2018-BLG-1990L b,0.57,,7.2,Microlensing
556,KMT-2018-BLG-2004 b,0.27,,4.62,Microlensing
557,KMT-2018-BLG-2602 b,1.15,,3.81,Microlensing
558,KMT-2018-BLG-2718 b,16.0,,4.86,Microlensing
559,KMT-2018:BLG-1996L b,1.22,,1.97,Microlensing
560,KMT-2019-BLG-0253 b,0.0289,,3.1,Microlensing
561,KMT-2019-BLG-0371 b,16.5,,1.15,Microlensing
562,KMT-2019-BLG-0414L b,4.42,,1.3,Microlensing
563,KMT-2019-BLG-0842 b,10.28,,3.31,Microlensing
564,KMT-2019-BLG-1042 b,0.19,,1.7,Microlensing
565,KMT-2019-BLG-1339/OGLE-2019/BLG-1019 b,12.2,,0.67,Microlensing
566,KMT-2019-BLG-1552 b,4.05,,2.6,Microlensing
567,KMT-2019-BLG-1715 b,2.56,,3.32,Microlensing
568,KMT-2019-BLG-1953L b,0.59,,0.8,Microlensing
569,KMT-2019-BLG-1953L c,0.28,,0.8,Microlensing
570,KMT-2019-BLG-2974 b,0.28,,2.0,Microlensing
571,KMT-2020-BLG-0414 b,0.00381,,1.79,Microlensing
572,KMT-2021-BLG-0119 b,5.7,,3.0,Microlensing
573,KMT-2021-BLG-0171L b,0.0352,,3.5,Microlensing
574,KMT-2021-BLG-0192 b,0.15,,2.6,Microlensing
575,KMT-2021-BLG-0240 b,0.4,,2.6,Microlensing
576,KMT-2021-BLG-0240 c,0.7,,4.0,Microlensing
577,KMT-2021-BLG-0320 b,0.1,,2.0,Microlensing
578,KMT-2021-BLG-0712 b,0.12016,,2.22,Microlensing
579,KMT-2021-BLG-0748 b,0.45,,2.43,Microlensing
580,KMT-2021-BLG-0909 b,1.26,,1.75,Microlensing
581,KMT-2021-BLG-0912 b,6.92,,3.03,Microlensing
582,KMT-2021-BLG-1077L b,0.22,,1.26,Microlensing
583,KMT-2021-BLG-1077L c,0.25,,0.93,Microlensing
584,KMT-2021-BLG-1105 b,1.3,,3.54,Microlensing
585,KMT-2021-BLG-1253 b,0.05994,,1.52,Microlensing
586,KMT-2021-BLG-1303 b,0.38,,2.89,Microlensing
587,KMT-2021-BLG-1372 b,0.19278,,2.37,Microlensing
588,KMT-2021-BLG-1554 b,0.12,,0.84,Microlensing
589,KMT-2021-BLG-1689L b,0.145,,2.5,Microlensing
590,KMT-2021-BLG-1898 b,0.76,,2.5,Microlensing
591,KMT-2021-BLG-1931 b,0.01432,,2.29,Microlensing
592,KMT-2021-BLG-2294 b,0.07,,1.05,Microlensing
593,KMT-2021-BLG-2478 b,0.8,,1.38,Microlensing
594,KOI-12 b,1.1,1.23,0.154,Primary Transit
595,KOI-1257 b,1.45,0.94,0.382,Primary Transit
596,KOI-13 b,9.28,1.512,0.03641,Primary Transit
597,KOI-142 b,0.03,0.307,,Primary Transit
598,KOI-142 c,0.674,,0.1529,Primary Transit
599,KOI-1599.01,0.01447,0.17,0.14728,Primary Transit
600,KOI-1599.02,0.02832,0.17,0.112293,Primary Transit
601,KOI-1783 b,0.2234,0.7904,0.5187,Primary Transit
602,KOI-1783 c,0.0472,0.4853,0.8539,TTV
603,KOI-2700 b,0.00271,0.0946,,Primary Transit
604,KOI-3680 b,1.93,0.99,0.534,Primary Transit
605,KOI-4777,0.00107,0.0455,0.008,Primary Transit
606,KOI-55 b,0.0014,0.068,0.006,Other
607,KOI-55 c,0.0021,0.077,0.0076,Other
608,KOI-984 b,0.0544,0.384,0.0504,Primary Transit
609,KPS-1 b,1.09,1.03,0.0269,Primary Transit
610,Kepler-10 b,0.0145,0.132,0.0172,Primary Transit
611,Kepler-10 c,0.02319,0.2097,0.241,Primary Transit
612,Kepler-100 b,0.023,0.118,,Primary Transit
613,Kepler-100 c,0.02218,0.196,,Primary Transit
614,Kepler-100 d,0.00944,0.144,,Primary Transit
615,Kepler-101 b,0.16,0.51,0.0474,Primary Transit
616,Kepler-101 c,0.01,0.112,0.0684,Primary Transit
617,Kepler-102 b,0.01353,0.042,0.055,Primary Transit
618,Kepler-102 c,0.00944,0.052,0.067,Primary Transit
619,Kepler-102 d,0.012,0.105,,Primary Transit
620,Kepler-102 e,0.028,0.198,0.117,Primary Transit
621,Kepler-102 f,0.01636,0.079,0.165,Primary Transit
622,Kepler-103 b,0.031,0.301,0.133,Primary Transit
623,Kepler-103 c,0.114,0.459,0.6679,Primary Transit
624,Kepler-104 b,0.0167,0.277,0.094,Primary Transit
625,Kepler-104 c,0.0242,0.279,0.153,Primary Transit
626,Kepler-104 d,0.0311,0.319,0.257,Primary Transit
627,Kepler-105 b,0.016,0.429,0.066,Primary Transit
628,Kepler-105 c,0.01447,0.117,0.072,Primary Transit
629,Kepler-106 b,0.01668,0.073,,Primary Transit
630,Kepler-106 c,0.033,0.223,,Primary Transit
631,Kepler-106 d,0.02549,0.085,,Primary Transit
632,Kepler-106 e,0.035,0.228,,Primary Transit
633,Kepler-107 b,0.01104,0.137,0.04544,Primary Transit
634,Kepler-107 c,0.02954,0.142,0.06064,Primary Transit
635,Kepler-107 d,0.01196,0.077,0.08377,Primary Transit
636,Kepler-107 e,0.02706,0.259,0.12639,Primary Transit
637,Kepler-109 b,0.02297,0.211,,Primary Transit
638,Kepler-109 c,0.06859,0.225,,Primary Transit
639,Kepler-11 b,0.006,0.161,0.091,Primary Transit
640,Kepler-11 c,0.009,0.256,0.107,Primary Transit
641,Kepler-11 d,0.023,0.278,0.155,Primary Transit
642,Kepler-11 e,0.025,0.374,0.195,Primary Transit
643,Kepler-11 f,0.006,0.222,0.25,Primary Transit
644,Kepler-11 g,0.079,0.297,0.466,Primary Transit
645,Kepler-113 b,0.037,0.162,,Primary Transit
646,Kepler-113 c,0.02737,0.194,,Primary Transit
647,Kepler-114 b,0.022,0.112,0.053,Primary Transit
648,Kepler-114 c,0.009,0.143,0.07,Primary Transit
649,Kepler-114 d,0.012,0.226,0.09,Primary Transit
650,Kepler-117 b,0.094,0.719,0.1445,Primary Transit
651,Kepler-117 c,1.84,1.101,0.2804,Primary Transit
652,Kepler-12 b,0.432,1.754,0.0553,Primary Transit
653,Kepler-122 f,0.113,0.156,,TTV
654,Kepler-128 b,0.00242,0.128,,Primary Transit
655,Kepler-128 c,0.00283,0.12,,Primary Transit
656,Kepler-131 b,0.051,0.215,,Primary Transit
657,Kepler-131 c,0.026,0.075,,Primary Transit
658,Kepler-138 b,0.00021,0.047,0.0746,Primary Transit
659,Kepler-138 c,0.0062,0.107,,Primary Transit
660,Kepler-138 d,0.00201,0.108,,Primary Transit
661,Kepler-14 b,8.4,1.136,,Primary Transit
662,Kepler-145 b,0.117,0.236,,Primary Transit
663,Kepler-145 c,0.25,0.385,,Primary Transit
664,Kepler-15 b,0.66,0.96,0.05714,Primary Transit
665,Kepler-150 f,0.0283,0.325,1.24,Primary Transit
666,Kepler-1514 b,5.28,1.108,0.753,Primary Transit
667,Kepler-1520 b,6.3e-05,,0.013,Primary Transit
668,Kepler-16 (AB) b,0.333,0.7538,0.7048,Primary Transit
669,Kepler-160 d,0.31463,,0.17,TTV
670,Kepler-1625 b,11.6,0.541,,Primary Transit
671,Kepler-1647 (AB) b,1.52,1.06,2.7205,Primary Transit
672,Kepler-1654 b,0.5,0.819,2.026,Primary Transit
673,Kepler-1655 b,0.01573,0.197,0.103,Primary Transit
674,Kepler-1656 b,0.1504,0.448,0.1974,Primary Transit
675,Kepler-1656 c,0.3977,,3.053,Radial Velocity
676,Kepler-1658 b,5.88,1.07,0.0544,Primary Transit
677,Kepler-1661 (AB) b,0.053,,,Primary Transit
678,Kepler-167 d,0.006,0.107,0.1405,Primary Transit
679,Kepler-167 e,4.0,0.906,1.89,Primary Transit
680,Kepler-17 b,2.45,1.31,0.02591,Primary Transit
681,Kepler-1705 b,0.01406,0.1811,0.08,Primary Transit
682,Kepler-1705 c,0.01705,0.1829,0.0416,Primary Transit
683,Kepler-1708 b,4.6,0.8886,1.64,Primary Transit
684,Kepler-177 b,0.01837,0.312,,Primary Transit
685,Kepler-177 c,0.04625,0.779,,Primary Transit
686,Kepler-18 b,0.022,0.178,0.0447,Primary Transit
687,Kepler-18 c,0.054,0.49,0.0752,Primary Transit
688,Kepler-18 d,0.052,0.623,0.1172,Primary Transit
689,Kepler-19 b,0.02643,0.198,0.085,Primary Transit
690,Kepler-19 c,0.04122,,,TTV
691,Kepler-19 d,0.07079,,,Radial Velocity
692,Kepler-197 c,0.017,0.11,0.09,Primary Transit
693,Kepler-20 b,0.03052,0.167,0.0463,Primary Transit
694,Kepler-20 c,0.04012,0.272,0.0949,Primary Transit
695,Kepler-20 d,0.03168,0.245,0.3506,Primary Transit
696,Kepler-20 e,0.0097,0.077,0.0639,Primary Transit
697,Kepler-20 f,0.045,0.089,0.1396,Primary Transit
698,Kepler-21 b,0.01598,0.146,0.042717,Primary Transit
699,Kepler-22 b,0.113,0.212,0.849,Primary Transit
700,Kepler-223 b,0.02328,0.267,0.073,Primary Transit
701,Kepler-223 c,0.01605,0.307,0.088,Primary Transit
702,Kepler-223 d,0.02517,0.467,0.116,Primary Transit
703,Kepler-223 e,0.0151,0.41,0.14,Primary Transit
704,Kepler-23 b,0.8,0.17,0.075,Primary Transit
705,Kepler-23 c,2.7,0.285,0.099,Primary Transit
706,Kepler-23 d,0.055,0.196,0.124,Primary Transit
707,Kepler-238 e,0.534,0.5,,Primary Transit
708,Kepler-238 f,0.042,0.178,,Primary Transit
709,Kepler-24 b,1.6,0.214,0.08,Primary Transit
710,Kepler-24 c,1.6,0.25,0.106,Primary Transit
711,Kepler-25 b,0.0275,0.245,0.068,Primary Transit
712,Kepler-25 c,0.0479,0.465,0.11,Primary Transit
713,Kepler-25 d,0.226,,,Radial Velocity
714,Kepler-26 b,0.01611,0.248,0.085,Primary Transit
715,Kepler-26 c,0.01951,0.243,0.107,Primary Transit
716,Kepler-27 b,9.11,0.357,0.118,Primary Transit
717,Kepler-27 c,13.8,0.437,0.191,Primary Transit
718,Kepler-276 c,0.052,0.259,,Primary Transit
719,Kepler-276 d,0.051,0.25,,Primary Transit
720,Kepler-277 b,0.275,0.261,,Primary Transit
721,Kepler-277 c,0.202,0.3,,Primary Transit
722,Kepler-278 b,0.176,0.363,0.207,Primary Transit
723,Kepler-278 c,0.1098,0.32,0.294,Primary Transit
724,Kepler-279 c,0.155,0.384,0.232,Primary Transit
725,Kepler-279 d,0.118,0.277,0.30728,Primary Transit
726,Kepler-28 b,1.51,0.321,0.062,Primary Transit
727,Kepler-28 c,1.36,0.303,0.081,Primary Transit
728,Kepler-282 d,0.192,0.219,,Primary Transit
729,Kepler-282 e,0.177,0.277,,Primary Transit
730,Kepler-289 b,0.023,0.192,0.21,Primary Transit
731,Kepler-289 c,0.42,1.034,0.51,Primary Transit
732,Kepler-289 d,0.013,0.239,0.33,Primary Transit
733,Kepler-29 b,0.01573,0.227,0.09,Primary Transit
734,Kepler-29 c,0.01416,0.209,0.11,Primary Transit
735,Kepler-30 b,0.036,0.348,0.18,Primary Transit
736,Kepler-30 c,2.01,1.097,0.3,Primary Transit
737,Kepler-30 d,0.073,0.785,0.5,Primary Transit
738,Kepler-305 b,0.033,0.321,0.05856,Primary Transit
739,Kepler-305 c,0.019,0.294,0.07711,Primary Transit
740,Kepler-307 b,0.02341,0.217,,Primary Transit
741,Kepler-307 c,0.01145,0.196,,Primary Transit
742,Kepler-31 c,4.7,0.473,0.26,Primary Transit
743,Kepler-31 d,6.8,0.348,0.4,Primary Transit
744,Kepler-32 b,4.1,0.196,0.05,Primary Transit
745,Kepler-32 c,0.5,0.178,0.09,Primary Transit
746,Kepler-328 b,0.09,0.205,,Primary Transit
747,Kepler-328 c,0.124,0.482,,Primary Transit
748,Kepler-338 b,0.0963,0.218,0.117,Primary Transit
749,Kepler-338 e,0.027,0.139,,TTV
750,Kepler-34 (AB) b,0.22,0.7637,1.0896,Primary Transit
751,Kepler-35 (AB) b,0.1268,0.728,0.60347,Primary Transit
752,Kepler-350 c,0.019,0.277,,Primary Transit
753,Kepler-350 d,0.047,0.25,,Primary Transit
754,Kepler-36 b,0.01205,0.134,0.1153,Primary Transit
755,Kepler-36 c,0.02243,0.328,0.1283,Primary Transit
756,Kepler-37 b,0.01,0.026,0.1003,Primary Transit
757,Kepler-37 c,0.03776,0.067,0.1368,Primary Transit
758,Kepler-37 d,0.017,0.173,0.2109,Primary Transit
759,Kepler-38 (AB) b,0.38,0.39,0.4644,Primary Transit
760,Kepler-391 c,1.416,0.316,0.161,Primary Transit
761,Kepler-396 b,0.238,0.312,0.36709,Primary Transit
762,Kepler-396 c,0.056,0.473,0.22662,Primary Transit
763,Kepler-4 b,0.077,0.357,0.0456,Primary Transit
764,Kepler-40 b,2.2,1.17,0.08,Primary Transit
765,Kepler-406 b,0.02,0.128,,Primary Transit
766,Kepler-406 c,0.009,0.076,,Primary Transit
767,Kepler-407 b,0.01007,0.095,,Primary Transit
768,Kepler-407 c,12.6,,,Radial Velocity
769,Kepler-408 b,0.01573,0.073,,Primary Transit
770,Kepler-409 b,0.06922,0.106,,Primary Transit
771,Kepler-41 b,0.56,1.29,0.03101,Primary Transit
772,Kepler-411 b,0.08055,0.214,0.0375,Primary Transit
773,Kepler-411 c,0.08306,0.394,0.0739,Primary Transit
774,Kepler-411 d,0.04782,0.296,0.279,Primary Transit
775,Kepler-411 e,0.03398,,0.186,TTV
776,Kepler-412 b,0.941,1.341,0.02897,Primary Transit
777,Kepler-413 (AB) b,0.211,0.3881,0.3553,Primary Transit
778,Kepler-414 b,0.011,0.153,,TTV
779,Kepler-414 c,0.094,0.269,,TTV
780,Kepler-415 b,0.377,0.108,,TTV
781,Kepler-416 b,0.183,0.221,,TTV
782,Kepler-417 b,0.035,0.206,,TTV
783,Kepler-418 b,1.1,1.2,,Primary Transit
784,Kepler-419 b,2.5,0.96,0.37,Primary Transit
785,Kepler-419 c,7.3,,1.68,TTV
786,Kepler-42 b,0.009,0.07,0.0116,Primary Transit
787,Kepler-42 c,0.006,0.065,0.006,Primary Transit
788,Kepler-42 d,0.003,0.051,0.0154,Primary Transit
789,Kepler-422 b,0.43,1.15,0.082,Primary Transit
790,Kepler-423 b,0.595,1.192,0.03585,Primary Transit
791,Kepler-424 b,1.03,0.89,0.044,Primary Transit
792,Kepler-425 b,0.25,0.978,0.0464,Primary Transit
793,Kepler-426 b,0.34,1.09,0.0414,Primary Transit
794,Kepler-427 b,0.29,1.23,0.091,Primary Transit
795,Kepler-428 b,1.27,1.08,0.0433,Primary Transit
796,Kepler-43 b,3.23,1.219,0.046,Primary Transit
797,Kepler-432 b,5.41,1.145,0.301,Primary Transit
798,Kepler-433 b,2.82,1.45,0.0679,Primary Transit
799,Kepler-434 b,2.86,1.13,0.1143,Primary Transit
800,Kepler-435 b,0.84,1.99,0.0948,Primary Transit
801,Kepler-44 b,1.0,1.09,0.0446,Primary Transit
802,Kepler-445 b,0.02,0.14,,Primary Transit
803,Kepler-445 c,0.027,0.22,,Primary Transit
804,Kepler-445 d,0.011,0.11,,Primary Transit
805,Kepler-446 b,0.014,0.13,,Primary Transit
806,Kepler-446 c,0.009,0.1,,Primary Transit
807,Kepler-446 d,0.01,0.12,,Primary Transit
808,Kepler-447 b,1.37,1.65,0.0769,Primary Transit
809,Kepler-45 b,0.505,0.96,0.03,Primary Transit
810,Kepler-453 (AB) b,0.03,0.55,,Primary Transit
811,Kepler-454 b,0.01905,0.21,0.0954,Primary Transit
812,Kepler-46 b,6.0,0.808,0.1968,Primary Transit
813,Kepler-46 c,0.376,,0.2799,TTV
814,Kepler-462 b,0.16959,0.268,,Primary Transit
815,Kepler-462 c,0.01888,0.357,,Primary Transit
816,Kepler-47 (AB) d,0.05984,0.6281,0.6992,Pulsar
817,Kepler-48 b,0.0124,0.168,,Primary Transit
818,Kepler-48 c,0.04597,0.242,,Primary Transit
819,Kepler-48 d,0.025,0.182,,Primary Transit
820,Kepler-48 e,2.067,,,Radial Velocity
821,Kepler-49 b,0.98,0.243,,Primary Transit
822,Kepler-49 c,0.72,0.227,,Primary Transit
823,Kepler-5 b,2.111,1.426,0.0538,Primary Transit
824,Kepler-50 b,0.1,0.153,0.077,Primary Transit
825,Kepler-50 c,0.11,0.194,0.087,Primary Transit
826,Kepler-51 b,0.007,0.633,0.2514,Primary Transit
827,Kepler-51 c,0.013,0.803,0.384,Primary Transit
828,Kepler-51 d,0.024,0.865,0.509,Primary Transit
829,Kepler-52 b,8.7,0.187,,Primary Transit
830,Kepler-52 c,10.41,0.164,,Primary Transit
831,Kepler-53 b,18.41,0.258,,Primary Transit
832,Kepler-53 c,15.74,0.283,,Primary Transit
833,Kepler-538 b,0.03335,0.198,0.4669,Primary Transit
834,Kepler-539 b,0.97,0.747,0.4988,Primary Transit
835,Kepler-539 c,2.4,,2.42,TTV
836,Kepler-54 b,0.92,0.187,,Primary Transit
837,Kepler-54 c,0.37,0.11,,Primary Transit
838,Kepler-55 b,1.49,0.217,,Primary Transit
839,Kepler-55 c,1.11,0.197,,Primary Transit
840,Kepler-56 b,0.07,0.581,0.1028,Primary Transit
841,Kepler-56 c,0.57,0.874,0.1652,Primary Transit
842,Kepler-57 b,18.86,0.195,,Primary Transit
843,Kepler-57 c,6.95,0.138,,Primary Transit
844,Kepler-58 b,1.39,0.248,,Primary Transit
845,Kepler-58 c,2.19,0.255,,Primary Transit
846,Kepler-59 b,2.05,0.098,0.112,Primary Transit
847,Kepler-59 c,1.37,0.177,0.148,Primary Transit
848,Kepler-595 b,0.05475,0.331,,Primary Transit
849,Kepler-595 c,0.01038,0.09,,Primary Transit
850,Kepler-6 b,0.668,1.304,0.04852,Primary Transit
851,Kepler-60 b,0.01318,0.153,0.07497,Primary Transit
852,Kepler-60 c,0.01211,0.17,0.08701,Primary Transit
853,Kepler-60 d,0.01309,0.178,0.10548,Primary Transit
854,Kepler-62 b,0.03,0.117,0.0553,Primary Transit
855,Kepler-62 c,0.013,0.048,0.0929,Primary Transit
856,Kepler-62 d,0.044,0.174,0.12,Primary Transit
857,Kepler-62 e,0.113,0.144,0.427,Primary Transit
858,Kepler-62 f,0.11,0.126,0.718,Primary Transit
859,Kepler-63 b,0.378,0.545,0.08,Primary Transit
860,Kepler-64 (AB) b,0.53,0.553,0.634,Primary Transit
861,Kepler-65 d,0.034,0.136,0.084,Primary Transit
862,Kepler-65 e,0.82,,,Radial Velocity
863,Kepler-66 b,0.047,0.25,0.1352,Primary Transit
864,Kepler-67 b,0.047,0.262,0.1171,Primary Transit
865,Kepler-68 b,0.02407,0.206,0.0617,Primary Transit
866,Kepler-68 c,0.00642,0.0827,0.09059,Primary Transit
867,Kepler-7 b,0.441,1.622,0.06067,Primary Transit
868,Kepler-74 b,0.63,0.96,0.0781,Primary Transit
869,Kepler-75 b,10.1,1.05,0.0818,Primary Transit
870,Kepler-76 b,2.01,1.36,0.0274,Other
871,Kepler-77 b,0.43,0.96,0.04501,Primary Transit
872,Kepler-78 b,0.00619,0.1,0.01,Primary Transit
873,Kepler-79 b,0.0343,0.31,0.117,Primary Transit
874,Kepler-79 c,0.019,0.332,0.187,Primary Transit
875,Kepler-79 d,0.019,0.639,0.287,Primary Transit
876,Kepler-79 e,0.013,0.311,0.386,Primary Transit
877,Kepler-8 b,0.59,1.416,0.0474,Primary Transit
878,Kepler-80 b,0.0218,0.238,0.0648,Primary Transit
879,Kepler-80 c,0.02121,0.244,0.0792,Primary Transit
880,Kepler-80 d,0.02124,0.136,0.0372,Primary Transit
881,Kepler-80 e,0.01299,0.143,0.0491,Primary Transit
882,Kepler-82 b,0.03823,0.363,0.1683,Primary Transit
883,Kepler-82 c,0.04373,0.476,0.2626,Primary Transit
884,Kepler-82 f,0.06576,,0.3395,TTV
885,Kepler-85 b,0.0465,0.176,0.07891,Primary Transit
886,Kepler-85 c,0.059,0.194,0.10369,Primary Transit
887,Kepler-86 b,0.34235,0.8466,0.824,Primary Transit
888,Kepler-87 b,1.02,1.204,0.481,Primary Transit
889,Kepler-87 c,0.02,0.548,0.676,Primary Transit
890,Kepler-88 d,3.05,,2.464,Radial Velocity
891,Kepler-89 b,0.033,0.153,0.05119,Primary Transit
892,Kepler-89 c,0.049,0.385,0.1013,Primary Transit
893,Kepler-89 d,0.334,1.005,0.1684,Primary Transit
894,Kepler-89 e,0.11,0.585,0.3046,Primary Transit
895,Kepler-9 b,0.13655,0.74,0.143,Primary Transit
896,Kepler-9 c,0.09408,0.721,0.227,Primary Transit
897,Kepler-9 d,0.016518264481,0.146,0.0273,Primary Transit
898,Kepler-91 b,0.81,1.367,0.0731,Primary Transit
899,Kepler-92 b,0.202,0.313,,Primary Transit
900,Kepler-92 c,0.019,0.232,,Primary Transit
901,Kepler-93 b,0.0143,0.14,0.053,Primary Transit
902,Kepler-93 c,3.0,,16.6,Radial Velocity
903,Kepler-94 b,0.034,0.313,,Primary Transit
904,Kepler-94 c,9.836,,,Radial Velocity
905,Kepler-95 b,0.041,0.305,,Primary Transit
906,Kepler-96 b,0.027,0.238,,Primary Transit
907,Kepler-97 b,0.011,0.132,,Primary Transit
908,Kepler-97 c,1.08,,,Radial Velocity
909,Kepler-98 b,0.011,0.178,,Primary Transit
910,Kepler-99 b,0.019,0.132,,Primary Transit
911,L 168-9 b,0.0145,0.124,0.02091,Primary Transit
912,L 98-59 b,0.0013,0.0758,0.02191,Primary Transit
913,L 98-59 c,0.00698,0.12356,0.0304,Primary Transit
914,L 98-59 d,0.0061,0.1357,0.0486,Primary Transit
915,L2 Pup b,12.0,,2.0,Imaging
916,LHS 1140 b,0.02196,0.15407,0.0936,Primary Transit
917,LHS 1140 c,0.00569,0.11437,0.02675,Primary Transit
918,LHS 1478 b,0.00733,0.1106,0.01848,Primary Transit
919,LHS 1678 b,0.00019,0.06209,0.01251,Primary Transit
920,LHS 1678 c,0.00123,0.08761,0.0331,Primary Transit
921,LHS 1815 b,0.0132,0.09707,0.0404,Primary Transit
922,LKCA 15 b,6.0,,15.7,Imaging
923,LP 714-47 b,0.0969,0.419,0.0417,Primary Transit
924,LP 890-9 b,0.0415,0.1178,0.01875,Primary Transit
925,LP 890-9 c,0.0796,0.12196,0.03984,Primary Transit
926,LTT 1445A b,0.00903,0.11643,0.03813,Primary Transit
927,LTT 1445A c,0.00485,0.10233,0.0266,Primary Transit
928,LTT 3780 b,0.00982,0.11883,0.012,Primary Transit
929,LTT 3780 c,0.0267,0.205,0.077,Primary Transit
930,LTT 9779 b,0.09225,0.4211,0.01679,Primary Transit
